game_id,played_at_utc,participants,winner_player,notes,lineup
1,2026-01-16T14:14:19.371139,4,Fra,,Da=Hearthhull | Fra=Piedemoccio | Matti=Sephiroth | Teo=Hylda
4,2026-01-16T14:49:56.567006,4,Matti,,Da=Hearthhull | Fra=Jan Jansen | Matti=Sephiroth | Teo=Hylda
7,2026-01-16T14:52:58.013098,5,Matti,,Da=Sisay | Fra=Liesa | Giamma=Kruphix | Matti=Sephiroth | Teo=Hylda
8,2026-01-16T22:22:37.755855,5,Fra,,Da=Sisay | Fra=Edric | Giamma=Halana | Matti=Flubs | Teo=Hylda
9,2026-01-16T22:24:05.057988,5,Matti,,Da=K'rrik | Fra=Baba | Giamma=Brion | Matti=Sephiroth | Teo=Hylda
10,2026-01-16T22:26:10.692681,4,Da,,Da=K'rrik | Fra=Braids | Matti=Sephiroth | Teo=Hylda
11,2026-01-16T22:30:23.902491,4,Teo,,Da=Lotho | Matti=Tramutanti | Stanca=Finn | Teo=Hylda
12,2026-01-16T22:31:09.194452,4,Da,,Da=Hearthhull | Matti=Flubs | Stanca=Kaalia | Teo=Hylda
13,2026-01-18T00:19:14.861992,4,Matti,,Da=K'rrik | Fra=Liesa | Matti=Sephiroth | Teo=Hylda
14,2026-01-19T23:06:06.941684,3,Da,,Da=Sisay | Fra=Piedemoccio | Giamma=Brion
15,2026-01-22T18:20:19.634751,5,Fra,,Da=Hearthhull | Fra=Magda | Giamma=Halana | Matti=Ivy | Teo=Hylda
16,2026-01-22T20:29:14.381165,5,Matti,,Da=Sisay | Fra=Piedemoccio | Giamma=Halana | Matti=Sephiroth | Teo=Scrab
17,2026-01-22T22:14:19.850506,3,Matti,,Giamma=Brion | Matti=Ivy | Teo=Hylda
18,2026-01-22T22:14:46.239174,3,Da,,Da=K'rrik | Fra=Magda | Stanca=Kaalia
19,2026-01-22T22:22:36.472304,3,Fra,,Da=K'rrik | Fra=Magda | Stanca=Kaalia
20,2026-01-22T23:06:58.828257,2,Stanca,,Fra=Magda | Stanca=Kaalia
21,2026-01-22T23:21:15.079285,2,Da,,Da=Karn | Giamma=Chandra
22,2026-01-23T00:05:13.937452,3,Fra,,Fra=Sidisi | Matti=Ivy | Teo=Hylda
23,2026-01-23T00:05:47.544434,3,Giamma,,Da=K'rrik | Giamma=Kruphix | Stanca=Kaalia
24,2026-01-23T00:30:14.307356,3,Da,,Da=K'rrik | Giamma=Kruphix | Stanca=Kaalia
25,2026-01-23T00:55:55.195762,4,Teo,,Fra=Raffine | Giamma=Galtha | Matti=Purphorose | Teo=Arabella
26,2026-01-23T00:57:49.963903,4,Matti,,Fra=Raffine | Giamma=Galtha | Matti=Purphorose | Teo=Arabella
27,2026-01-23T01:07:03.671656,2,Da,,Da=Sisay | Stanca=Volo
28,2026-01-26T21:10:06.544060,5,Matti,,Da=Sisay | Fra=Abigale | Giamma=Halana | Matti=Vivi | Stanca=Kaalia
29,2026-01-26T22:44:53.575494,5,Giamma,,Da=Sisay | Fra=Abigale | Giamma=Galtha | Matti=Vivi | Stanca=Volo
30,2026-01-29T18:36:01.370837,3,Fra,,Da=Hearthhull | Fra=Abigale | Matti=Sephiroth
31,2026-01-29T20:24:46.282571,4,Fra,,Da=Hearthhull | Fra=Abigale | Giamma=Kruphix | Matti=Vivi
32,2026-01-29T20:39:36.052589,2,Da,,Da=Karn | Giamma=Chandra
33,2026-01-29T20:45:54.013593,4,Da,,Da=K'rrik | Fra=Abigale | Giamma=Kruphix | Matti=Sephiroth
34,2026-01-29T22:20:34.086318,5,Da,,Da=K'rrik | Fra=Abigale | Giamma=Brion | Matti=Sephiroth | Stanca=Volo
35,2026-01-29T23:48:29.374162,5,Fra,,Da=Sisay | Fra=Abigale | Giamma=Halana | Matti=Sephiroth | Stanca=Kaalia
36,2026-01-29T23:59:58.855260,5,Giamma,,Da=Sisay | Fra=Abigale | Giamma=Halana | Matti=Sephiroth | Stanca=Kaalia
37,2026-01-30T00:00:45.866398,2,Giamma,,Fra=Tezzeret | Giamma=Chandra
38,2026-01-30T00:10:52.322542,3,Matti,,Da=K'rrik | Matti=Vivi | Stanca=Kaalia
